datetime,symbol,open,high,low,close,volume,symbol_group,asset_class,expiry
2017-07-20 00:00:00+00:00,AAPL,149.76,149.99,148.46,148.61,17243700,AAPL,STK,
2017-07-21 00:00:00+00:00,AAPL,148.26,148.71,147.17,148.54,26252600,AAPL,STK,
2017-07-24 00:00:00+00:00,AAPL,148.85,150.69,148.17,150.34,21493200,AAPL,STK,
2017-07-25 00:00:00+00:00,AAPL,150.05,152.07,150.05,150.98,18853900,AAPL,STK,
2017-07-26 00:00:00+00:00,AAPL,151.58,152.16,151.3,151.69,15781000,AAPL,STK,
2017-07-27 00:00:00+00:00,AAPL,151.98,152.22,145.6,148.83,32476300,AAPL,STK,
2017-07-28 00:00:00+00:00,AAPL,148.16,148.5,147.47,147.78,17213700,AAPL,STK,
2017-07-31 00:00:00+00:00,AAPL,148.17,148.6,146.43,147.02,19845900,AAPL,STK,
2017-08-01 00:00:00+00:00,AAPL,147.38,148.49,146.7,148.32,35368600,AAPL,STK,
2017-08-02 00:00:00+00:00,AAPL,157.45,157.91,154.36,155.33,69936800,AAPL,STK,
2017-08-03 00:00:00+00:00,AAPL,155.24,155.4,153.24,153.78,27097300,AAPL,STK,
2017-08-04 00:00:00+00:00,AAPL,154.27,155.59,153.9,154.59,20559900,AAPL,STK,
2017-08-07 00:00:00+00:00,AAPL,155.25,157.09,154.87,156.98,21870300,AAPL,STK,
2017-08-08 00:00:00+00:00,AAPL,156.77,159.97,156.45,158.24,36205900,AAPL,STK,
2017-08-09 00:00:00+00:00,AAPL,157.43,159.41,157.28,159.21,26131500,AAPL,STK,
2017-08-10 00:00:00+00:00,AAPL,158.68,158.78,153.45,154.14,40804300,AAPL,STK,
2017-08-11 00:00:00+00:00,AAPL,155.41,157.36,154.88,156.28,26257100,AAPL,STK,
2017-08-14 00:00:00+00:00,AAPL,158.1,158.99,157.54,158.63,22122700,AAPL,STK,
2017-08-15 00:00:00+00:00,AAPL,159.43,160.96,158.92,160.37,29465500,AAPL,STK,
2017-08-16 00:00:00+00:00,AAPL,160.7,161.27,158.93,159.72,27671600,AAPL,STK,
2017-08-17 00:00:00+00:00,AAPL,159.3,159.48,156.64,156.66,27940600,AAPL,STK,
2017-08-18 00:00:00+00:00,AAPL,156.66,158.28,155.52,156.3,27428100,AAPL,STK,
2017-08-21 00:00:00+00:00,AAPL,156.3,156.69,153.93,156.01,26368500,AAPL,STK,
2017-08-22 00:00:00+00:00,AAPL,157.02,158.78,156.81,158.56,21604600,AAPL,STK,
2017-08-23 00:00:00+00:00,AAPL,157.86,159.25,157.67,158.76,19399100,AAPL,STK,
2017-08-24 00:00:00+00:00,AAPL,159.21,159.51,157.34,158.06,19818900,AAPL,STK,
2017-08-25 00:00:00+00:00,AAPL,158.43,159.34,158.06,158.64,25480100,AAPL,STK,
2017-08-28 00:00:00+00:00,AAPL,158.92,160.76,158.71,160.24,25966000,AAPL,STK,
2017-08-29 00:00:00+00:00,AAPL,158.88,161.88,158.78,161.67,29516900,AAPL,STK,
2017-08-30 00:00:00+00:00,AAPL,162.55,162.64,161.37,162.1,27269600,AAPL,STK,
2017-08-31 00:00:00+00:00,AAPL,162.39,163.27,162.23,162.75,26785100,AAPL,STK,
2017-09-01 00:00:00+00:00,AAPL,163.54,163.68,162.38,162.8,16591100,AAPL,STK,
2017-09-05 00:00:00+00:00,AAPL,162.5,163.0,159.34,160.84,29468500,AAPL,STK,
2017-09-06 00:00:00+00:00,AAPL,161.47,161.75,159.3,160.67,21651700,AAPL,STK,
2017-09-07 00:00:00+00:00,AAPL,160.85,161.0,159.14,160.03,21928500,AAPL,STK,
2017-09-08 00:00:00+00:00,AAPL,159.63,159.92,157.32,157.42,28611500,AAPL,STK,
2017-09-11 00:00:00+00:00,AAPL,159.28,160.81,158.67,160.27,31085900,AAPL,STK,
2017-09-12 00:00:00+00:00,AAPL,161.37,162.71,157.56,159.63,71714000,AAPL,STK,
2017-09-13 00:00:00+00:00,AAPL,158.65,158.74,156.71,158.43,44907400,AAPL,STK,
2017-09-14 00:00:00+00:00,AAPL,157.78,158.18,156.88,157.07,23760700,AAPL,STK,
